mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_recall_Deceased,split1_test_recall_Deceased,split2_test_recall_Deceased,split3_test_recall_Deceased,split4_test_recall_Deceased,mean_test_recall_Deceased,std_test_recall_Deceased,rank_test_recall_Deceased,split0_train_recall_Deceased,split1_train_recall_Deceased,split2_train_recall_Deceased,split3_train_recall_Deceased,split4_train_recall_Deceased,mean_train_recall_Deceased,std_train_recall_Deceased,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_f1_score_decease,split1_test_f1_score_decease,split2_test_f1_score_decease,split3_test_f1_score_decease,split4_test_f1_score_decease,mean_test_f1_score_decease,std_test_f1_score_decease,rank_test_f1_score_decease,split0_train_f1_score_decease,split1_train_f1_score_decease,split2_train_f1_score_decease,split3_train_f1_score_decease,split4_train_f1_score_decease,mean_train_f1_score_decease,std_train_f1_score_decease
12.840612363815307,0.2544925806607286,0.6552098274230957,0.006622702502670983,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.6490888008821132,0.6422616810103031,0.645552739404857,0.6478118729418729,0.6466422687857005,0.6462714726049693,0.0023256254071699228,14,0.6852036802028302,0.6866121536462589,0.6852899700792803,0.6875915280574528,0.6850962177364353,0.6859587099444514,0.0009853181606433276,0.06834030683403068,0.05153203342618384,0.061366806136680614,0.05718270571827057,0.06415620641562064,0.06051561170615727,0.005779571898986878,13,0.16312303938654585,0.17154811715481172,0.16591146741024748,0.17427675148135238,0.16591146741024748,0.16815416856864102,0.004107957797914781,0.8638944612559927,0.8608003808099011,0.8617840567144387,0.8650141956104113,0.8620390676799102,0.8627064324141308,0.001527505734002515,15,0.878806553753958,0.8783432858023248,0.8785690606325918,0.8783523031544588,0.878224798755557,0.878459200419778,0.00020617030299587637,0.12098765432098764,0.09450830140485313,0.11125158027812894,0.10353535353535354,0.11514392991239049,0.10908536389034276,0.009234247114129035,12,0.27998803469937183,0.29198813056379824,0.2839248434237996,0.29620853080568715,0.2834176838344746,0.2871054446654263,0.006017975202484636
25.22578101158142,0.3193709170027992,1.230412530899048,0.01391345758220653,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.6476654021590101,0.6441012977897691,0.6445423696150645,0.6497108382598562,0.6475112585560403,0.6467062332759481,0.0021006530692712975,13,0.6864103318948322,0.6892273825336737,0.686300037596804,0.6878183627700418,0.6846138904313984,0.68687400104535,0.0015545254327512712,0.06276150627615062,0.05153203342618384,0.05439330543933055,0.0599721059972106,0.06555090655509066,0.058841971538793246,0.005193757614272026,14,0.16765423492506099,0.17433751743375175,0.16869989543394912,0.17218543046357615,0.16451725339839665,0.16947886633094694,0.0034492218908323824,0.8637414572778892,0.8622794192649009,0.862736097652199,0.8661022423964231,0.8624640859556961,0.8634646605094216,0.0014121051479172892,13,0.878946809188856,0.8798563444333468,0.8790025755888579,0.8787815679640948,0.8779017876116726,0.8788978169573657,0.0006225331826894988,0.11221945137157106,0.09438775510204081,0.09898477157360408,0.10941475826972011,0.11838790931989926,0.10667892912736707,0.00878129129874145,14,0.2864800476474092,0.2960331557134399,0.2881810062518607,0.2928275044457617,0.2820436211532716,0.2891130670423486,0.0048880111716222705
37.47539505958557,0.15226029329916366,1.8064072132110596,0.013593975420799348,20,2,150,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",0.6474008554309943,0.6432455148359837,0.6442141185517236,0.6479318894373571,0.6465423686567581,0.6458669493825634,0.0018262970858343042,15,0.6854730441231799,0.6881508855649308,0.6852674729636643,0.6881727761856732,0.6851417124182961,0.6864411782511489,0.001408900972248036,0.06415620641562064,0.04874651810584958,0.05578800557880056,0.05718270571827057,0.0599721059972106,0.05716910836315039,0.005089675654946282,15,0.16521436040432205,0.1698047419804742,0.16451725339839665,0.1760195189961659,0.16521436040432205,0.16815404703673617,0.004361197677320146,0.8634014484376594,0.86204141307674,0.8618180581765016,0.8654222131551657,0.8632291188521106,0.8631824503396354,0.0012829814961224989,14,0.8788448052362029,0.8798775952568162,0.8788623207500659,0.8786880647382335,0.8786073119522624,0.8789760195867162,0.0004608354662179897,0.11471321695760599,0.08928571428571427,0.1015228426395939,0.10419313850063532,0.10872313527180782,0.10368760953107145,0.008476755281372933,15,0.28315412186379924,0.2891923990498812,0.28221225710014947,0.29872818692694464,0.28315412186379924,0.28728821736091475,0.006236115382250317
12.731408023834229,0.052736540831240714,0.6569910049438477,0.006208721520157693,20,4,50,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 50}",0.6475090185050916,0.6412036233107332,0.642914036800295,0.645059401636293,0.6442294306878809,0.6441831021880586,0.0021127985109624437,18,0.6769610998020028,0.6769480090280748,0.6734816268905236,0.6750957255590496,0.6751862886281533,0.6755345499815608,0.001308530238715079,0.06834030683403068,0.04178272980501393,0.05439330543933055,0.05160390516039052,0.05299860529986053,0.053823770507725244,0.008504699382531785,18,0.1373300801673057,0.13110181311018132,0.12722202858138723,0.1387242941791565,0.1300104566050889,0.13287773452862395,0.004412886374481154,0.8626194281051307,0.86204141307674,0.8609680216249299,0.8641131568657452,0.862379082300539,0.8624242203946169,0.0010158450866885492,17,0.8769917334296704,0.878050024438447,0.8757682140033831,0.8744336679615446,0.8767202468485162,0.8763927773363124,0.0012198886457271418,0.12189054726368159,0.07741935483870967,0.0996168582375479,0.09560723514211887,0.09718670076726342,0.09834413924986429,0.014161426867120902,18,0.24083129584352078,0.23053341508277134,0.2250308261405672,0.24246116356990555,0.22911547911547916,0.2335944359504488,0.006837504162300301
25.032205247879027,0.22698520598429991,1.2298275470733642,0.008242404515794189,20,4,100,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 100}",0.6466722856135325,0.6407267680815744,0.6446769332855793,0.6460935490504726,0.6441669524610866,0.644467297698449,0.0020800183326757917,17,0.6776576811535363,0.6776446424821198,0.6771259560097542,0.6773351876113558,0.6748289513728905,0.6769184837259313,0.0010636307354767466,0.06415620641562064,0.04317548746518106,0.05578800557880056,0.05160390516039052,0.05578800557880056,0.05410232203975866,0.006817645484389628,17,0.13976995468804462,0.13702928870292888,0.13384454513767863,0.1390728476821192,0.12896479609620076,0.1357362864613944,0.003962492698812439,0.8628744347353031,0.8611913909761654,0.861954064024753,0.8651502014586627,0.86132503697659,0.8624990256342947,0.0014529147372277494,16,0.8771192383704869,0.8773019954523238,0.8774045204559557,0.8766564946490654,0.8763802351181116,0.8769724968091888,0.0003917596581901015,0.11414392059553352,0.07969151670951158,0.1015228426395939,0.09499358151476253,0.10243277848911651,0.0985569279897036,0.011272749320105553,17,0.24406573341448573,0.23963414634146346,0.23551057957681693,0.24314442413162707,0.22762227007074748,0.23799543070702814,0.005997050006505987
37.493005228042605,0.23723537644344816,1.800800657272339,0.0022213555441525598,20,4,150,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 150}",0.6480247412843952,0.6409932740526562,0.643477702032975,0.6456062978189571,0.6443700629920115,0.6444944156361989,0.002324075889025872,16,0.6767755887917022,0.6777131872524298,0.6760203131979226,0.6772998461701197,0.6744811480844348,0.6764580166993218,0.001138821837234827,0.06694560669456066,0.04456824512534819,0.05439330543933055,0.05160390516039052,0.05718270571827057,0.05493875362758009,0.007323469344203202,16,0.13419309864064133,0.13668061366806136,0.1314046706169397,0.14046706169397002,0.12791913558731266,0.13413291604138503,0.00430511734840772,0.8632994457855905,0.8612933936282343,0.8612230325904013,0.8644701722174053,0.8614950442869044,0.8623562177017072,0.0013048989287043214,18,0.8773827485815076,0.8776632594513037,0.8770985098985915,0.8761379767601982,0.8765502409833139,0.876966547134983,0.0005542356077824407,0.12015018773466833,0.08247422680412371,0.1,0.0962288686605982,0.10512820512820512,0.10079629766551908,0.012251793839361534,16,0.23569023569023567,0.23931623931623933,0.2318573185731857,0.24543239951278928,0.22619414483821265,0.23569806758613251,0.006525708339243291
13.131199884414674,0.06195289891957474,0.7158052444458007,0.005316375813136733,25,2,50,"{'max_depth': 25, 'min_samples_split': 2, 'n_estimators': 50}",0.657928765661083,0.6538346199538729,0.6557171562091257,0.6558408445300088,0.6564767285738713,0.6559596229855924,0.001321624561657782,6,0.7122957379340177,0.7138655723963043,0.7116975924837297,0.7134448929747941,0.7103494306230755,0.7123306452823842,0.0012589467868183916,0.07531380753138076,0.06128133704735376,0.0697350069735007,0.061366806136680614,0.07112970711297072,0.06776533296037732,0.005570663264268808,6,0.2328337399790868,0.23744769874476987,0.23039386545834786,0.23910770303241546,0.22411990240501917,0.23278058192392784,0.005338933450343791,0.8685015810411071,0.8673795518683486,0.8676153074582207,0.8697063973750871,0.8673432957617178,0.8681092267008964,0.0009019897864063869,11,0.887442888411926,0.887693648128865,0.887698375593958,0.8869120984673972,0.8872138588781313,0.8873921738960554,0.0002998288904642871,0.12646370023419204,0.10731707317073169,0.12062726176115803,0.10653753026634383,0.1223021582733813,0.11664954474116138,0.00816626943994611,6,0.3745444350995234,0.3801283840357243,0.3716615125105426,0.38313320301591736,0.36317424456368264,0.37452835584507804,0.006964748420539517
25.92620325088501,0.09973368225504356,1.3417861461639404,0.004036969941431079,25,2,100,"{'max_depth': 25, 'min_samples_split': 2, 'n_estimators': 100}",0.6578012211190687,0.6544660388842399,0.6546633803250709,0.6570218081449175,0.6582322399949493,0.6564369376936492,0.0015783789734575067,5,0.7113676338855758,0.7129774792011522,0.7133289532033051,0.7133576711775497,0.7098063286923666,0.7121676132319898,0.0013882696396971862,0.07531380753138076,0.06545961002785515,0.06555090655509066,0.06415620641562064,0.07670850767085077,0.06943780764015958,0.0054077688826470755,5,0.22899965144649703,0.23500697350069735,0.23597072150575113,0.23736493551760196,0.22133147438131753,0.231734751270373,0.005933949745225442,0.8684165788310496,0.8673285505423141,0.8676153074582207,0.8702334200370616,0.8678703184236922,0.8682928350584678,0.001034271837018612,9,0.8873238838004973,0.887765900928661,0.8880638882041431,0.8872861113708423,0.887409365623114,0.8875698299854516,0.0002997572110816973,0.12781065088757398,0.11435523114355231,0.11338962605548855,0.1117861482381531,0.13237063778580024,0.11994245882211363,0.008450446277846625,4,0.37003660940580113,0.3774852982357883,0.3796971396522715,0.380979020979021,0.3603859250851305,0.37371679867160246,0.007667619234981875
38.472406721115114,0.1600456508201411,1.9658037185668946,0.012321740184443616,25,2,150,"{'max_depth': 25, 'min_samples_split': 2, 'n_estimators': 150}",0.6575519975579546,0.6551296288799591,0.6559811284023357,0.656545761418888,0.6578237186509832,0.6566064469820241,0.0009951395859834527,4,0.7118953254183119,0.7139008261696271,0.7135848038205516,0.7136700745486698,0.7106218404619373,0.7127345740838196,0.0012748472325888251,0.07531380753138076,0.06824512534818941,0.06834030683403068,0.06276150627615062,0.07531380753138076,0.06999491070422645,0.004789633165397946,4,0.23074241896131056,0.23744769874476987,0.23666782851167653,0.23841059602649006,0.2251655629139073,0.23368682103163088,0.005032414935831646,0.8683655775050151,0.8671245452381762,0.8679213206167865,0.8702334200370616,0.8681933323132894,0.8683676391420658,0.0010252812442380693,6,0.8877106487876405,0.8878849055400897,0.8878343802861198,0.8874051154764839,0.887698375593958,0.8877066851368584,0.00016679183574859615,0.12781065088757398,0.11893203883495147,0.11878787878787879,0.10962241169305724,0.12841854934601665,0.12071430590989563,0.00692287792273762,3,0.37285271754435373,0.3804469273743017,0.3807120829828988,0.38276440962506997,0.36476566911349523,0.3763083613280239,0.0066839549739023275
12.852606725692748,0.11459779186255989,0.7050136089324951,0.005174697210987579,25,4,50,"{'max_depth': 25, 'min_samples_split': 4, 'n_estimators': 50}",0.6566967110506633,0.6517029056782736,0.6547667350976228,0.6541504077760716,0.6557846728973149,0.6546202864999893,0.001698274339603147,12,0.6972436633731104,0.6984136255243207,0.6970098577740168,0.696338693609147,0.6960345514018642,0.6970080783364918,0.0008278764374878845,0.07252440725244072,0.052924791086350974,0.06555090655509066,0.05578800557880056,0.06834030683403068,0.06302568346134271,0.007473416017175769,11,0.17811084001394215,0.1816596931659693,0.17776228651097944,0.17671662600209131,0.17323109097246428,0.1774961073330893,0.002704890027826764,0.8682295739689232,0.8678555642446704,0.8677683140375037,0.8698934054164329,0.8678533176926608,0.8683200350720381,0.000802699422378512,7,0.8852710542533523,0.8857853241813121,0.885382045680576,0.8849187796978996,0.8853437943609055,0.885340199634809,0.00027650523412881315,0.12545235223160434,0.09476309226932668,0.11590628853267572,0.10126582278481013,0.12009803921568629,0.11149711900682062,0.011600622500010926,11,0.30049985298441634,0.3044113350861817,0.29991179064980894,0.29849867530173685,0.29235294117647054,0.2991349190397229,0.003916814274356988
