iter	Passed	Remaining
155	25033	55202
156	25152	54950
157	25277	54715
158	25397	54468
159	25511	54211
160	25627	53961
161	25758	53743
162	25885	53517
163	26015	53299
164	26147	53088
165	26313	52944
166	26459	52760
167	26629	52625
168	26759	52410
169	26879	52178
170	26998	51943
171	27110	51698
172	27218	51448
173	27362	51264
174	27484	51043
175	27614	50835
176	27728	50601
177	27847	50375
178	27954	50130
179	28063	49890
180	28187	49677
181	28311	49467
182	28443	49270
183	28566	49059
184	28689	48850
185	28807	48631
186	28906	48383
187	29028	48174
188	29136	47944
189	29244	47715
190	29374	47522
191	29483	47296
192	29584	47059
193	29709	46861
194	29821	46644
195	29942	46441
196	30051	46221
197	30165	46010
198	30283	45806
199	30404	45606
200	30499	45369
201	30627	45183
202	30748	44986
203	30853	44768
204	30980	44581
205	31093	44375
206	31199	44161
207	31304	43946
208	31424	43753
209	31535	43548
210	31648	43347
211	31759	43145
212	31878	42953
213	31975	42734
214	32082	42528
215	32204	42343
216	32332	42166
217	32453	41981
218	32588	41814
219	32755	41688
220	32859	41482
221	32989	41311
222	33112	41130
223	33226	40939
224	33334	40741
225	33450	40554
226	33563	40364
227	33689	40191
228	33816	40018
229	33940	39843
230	34081	39687
231	34190	39496
232	34298	39303
233	34402	39107
234	34522	38929
235	34633	38742
236	34755	38568
237	34878	38396
238	35011	38234
239	35120	38047
240	35229	37860
241	35346	37683
242	35463	37506
243	35573	37323
244	35701	37158
245	35826	36991
246	35947	36820
247	36053	36634
248	36182	36473
249	36288	36288
250	36407	36117
251	36512	35933
252	36639	35770
253	36780	35621
254	36885	35439
255	37010	35275
256	37118	35096
257	37237	34928
258	37348	34752
259	37444	34563
260	37555	34389
261	37662	34212
262	37776	34042
263	37894	33875
264	38025	33720
265	38144	33555
266	38256	33385
267	38384	33228
268	38495	33057
269	38597	32879
270	38709	32710
271	38827	32546
272	38942	32380
273	39055	32213
274	39165	32044
275	39292	31889
276	39399	31718
277	39520	31559
278	39622	31385
279	39737	31222
280	39849	31057
281	39967	30896
282	40069	30724
283	40196	30572
284	40318	30415
285	40439	30258
286	40532	30081
287	40648	29921
288	40757	29756
289	40872	29597
290	40990	29439
291	41098	29275
292	41207	29112
293	41322	28954
294	41442	28799
295	41551	28636
296	41662	28476
297	41775	28317
298	41887	28158
299	42005	28003
300	42124	27849
301	42230	27687
302	42356	27538
303	42468	27381
304	42578	27222
305	42677	27056
306	42787	26899
307	42893	26738
308	43009	26584
309	43136	26438
310	43268	26294
311	43387	26143
312	43492	25984
313	43607	25831
314	43723	25678
315	43820	25516
316	43951	25372
317	44069	25222
318	44196	25076
319	44317	24928
320	44462	24793
321	44584	24646
322	44695	24492
323	44812	24342
324	44949	24203
325	45060	24050
326	45165	23894
327	45280	23744
328	45404	23599
329	45527	23453
330	45635	23300
331	45770	23160
332	45887	23012
333	45990	22857
334	46093	22702
335	46208	22554
336	46330	22409
337	46452	22264
338	46565	22115
339	46655	21955
340	46783	21813
341	46886	21660
342	46997	21511
343	47119	21368
344	47224	21216
345	47338	21069
346	47463	20927
347	47575	20779
348	47696	20636
349	47808	20489
350	47935	20348
351	48052	20204
352	48153	20052
353	48266	19906
354	48358	19752
355	48475	19608
356	48578	19458
357	48704	19318
358	48827	19177
359	48939	19031
360	49036	18881
361	49149	18736
362	49280	18598
363	49386	18452
364	49497	18307
365	49618	18166
366	49729	18021
367	49826	17872
368	49912	17719
369	50047	17584
370	50160	17441
371	50271	17297
372	50391	17157
373	50518	17019
374	50635	16878
375	50755	16738
376	50864	16595
377	50988	16456
378	51114	16318
379	51234	16179
380	51351	16038
381	51462	15896
382	51566	15752
383	51665	15607
384	51787	15468
385	51900	15328
386	52019	15189
387	52138	15050
388	52242	14907
389	52362	14768
390	52463	14625
391	52570	14483
392	52665	14339
393	52783	14200
394	52897	14061
395	53024	13925
396	53127	13783
397	53241	13644
398	53348	13504
399	53451	13362
400	53570	13225
401	53688	13088
402	53798	12948
403	53921	12812
404	54039	12675
405	54167	12541
406	54288	12404
407	54419	12270
408	54530	12132
409	54637	11993
410	54753	11856
411	54911	11728
412	55041	11594
413	55191	11464
414	55346	11335
415	55465	11199
416	55577	11062
417	55704	10927
418	55824	10791
419	55959	10658
420	56078	10523
421	56189	10385
422	56319	10252
423	56442	10117
424	56562	9981
425	56689	9847
426	56811	9712
427	56933	9577
428	57060	9443
429	57186	9309
430	57317	9176
431	57444	9042
432	57564	8907
433	57670	8770
434	57795	8636
435	57899	8499
436	58031	8366
437	58191	8237
438	58326	8104
439	58475	7973
440	58629	7843
441	58757	7710
442	58873	7575
443	59018	7443
444	59201	7317
445	59360	7187
446	59528	7058
447	59657	6924
448	59755	6787
449	59877	6653
450	60019	6520
451	60155	6388
452	60365	6263
453	60538	6133
454	60726	6005
455	60950	5881
456	61115	5750
457	61320	5623
458	61487	5492
459	61626	5358
460	61770	5225
461	61926	5093
462	62076	4960
463	62237	4828
464	62426	4698
465	62678	4573
466	62809	4438
467	62937	4303
468	63062	4168
469	63189	4033
470	63339	3899
471	63466	3764
472	63588	3629
473	63714	3494
474	63855	3360
475	63952	3224
476	64062	3088
477	64190	2954
478	64306	2819
479	64414	2683
480	64538	2549
481	64666	2414
482	64786	2280
483	64922	2146
484	65038	2011
485	65166	1877
486	65304	1743
487	65428	1608
488	65565	1474
489	65691	1340
490	65827	1206
491	65979	1072
492	66092	938
493	66220	804
494	66360	670
495	66492	536
496	66628	402
497	66747	268
498	66887	134
499	67017	0
