,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__class_weight,param_estimator__penalty,param_estimator__tol,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_recall_Deceased,split1_test_recall_Deceased,split2_test_recall_Deceased,split3_test_recall_Deceased,split4_test_recall_Deceased,mean_test_recall_Deceased,std_test_recall_Deceased,rank_test_recall_Deceased,split0_train_recall_Deceased,split1_train_recall_Deceased,split2_train_recall_Deceased,split3_train_recall_Deceased,split4_train_recall_Deceased,mean_train_recall_Deceased,std_train_recall_Deceased,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_f1_score_decease,split1_test_f1_score_decease,split2_test_f1_score_decease,split3_test_f1_score_decease,split4_test_f1_score_decease,mean_test_f1_score_decease,std_test_f1_score_decease,rank_test_f1_score_decease,split0_train_f1_score_decease,split1_train_f1_score_decease,split2_train_f1_score_decease,split3_train_f1_score_decease,split4_train_f1_score_decease,mean_train_f1_score_decease,std_train_f1_score_decease
0,74.6347939491272,21.561082166840077,0.2900132179260254,0.0010066895084287824,0.01,balanced,l1,0.0001,"{'estimator__C': 0.01, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.5412275801286289,0.5410231966541551,0.533673474250384,0.5428165236009598,0.5413695924790194,0.5400220734226295,0.003236818345204122,6,0.5412755929999095,0.5421615063165496,0.5441191350174159,0.5355156978846124,0.5364779005588702,0.5399099665554715,0.003338866280018172,0.22939560439560439,0.23214285714285715,0.20357634112792297,0.25,0.24862637362637363,0.23274823525855162,0.016806812239426826,1,0.23222260391618002,0.23325317760219855,0.24278846153846154,0.22294744074201306,0.2301614565441429,0.23227462806859922,0.006371230293297237,0.7108394818265275,0.7101084628200334,0.7099165264106356,0.7077234321075806,0.7073664167559205,0.7091908639841396,0.0013833638980397858,15,0.7102407718299084,0.7111035552627665,0.7111982863408788,0.7065443757809644,0.7067951344321379,0.7091764247293313,0.0020752260776002694,0.12694792854427975,0.12955155231889615,0.1104065647146587,0.14174454828660438,0.13822069492172584,0.12937425775723296,0.010926805795427338,5,0.12857822158820734,0.1286472148541114,0.1348078939841739,0.12516875602700098,0.12730381911457345,0.12890118111361343,0.00321062676231329
1,36.617697954177856,2.011505952536579,0.291607141494751,0.005856182676115384,0.01,balanced,l1,0.001,"{'estimator__C': 0.01, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.5411880795472233,0.5422897677359438,0.5334957877909933,0.5403537596199453,0.5404756443619241,0.5395606078112059,0.003109514486371131,8,0.5414694243133991,0.5428712702486094,0.544723128226509,0.5337947339383278,0.5361139270333041,0.5397944967520298,0.004149869226166018,0.22939560439560439,0.23351648351648352,0.20082530949105915,0.25,0.24587912087912087,0.23192330365645358,0.017306325501272014,6,0.23359670216420475,0.2342837512882171,0.24175824175824176,0.22500858811405017,0.22981793198213674,0.2328930430613701,0.00552524916010452,0.7110774880146884,0.7114684981809527,0.7108515666173646,0.704017272742728,0.7072474116387004,0.7089324474388867,0.002888392591080355,16,0.7103470259472554,0.7120385914954205,0.7124010778371854,0.7031570089168077,0.7066506294467159,0.708918866728677,0.0035282296237501565,0.12718964204112718,0.12947448591012947,0.10924055368499813,0.14207650273224043,0.1369548584544759,0.1289872085645942,0.011209033233303804,6,0.12938825991818095,0.128983451536643,0.1346852879280658,0.1263015811801003,0.12740430394210628,0.12935257690101926,0.0028872019715226326
2,11.012984800338746,0.8737484013085418,0.28984742164611815,0.0019359759708174747,0.01,balanced,l1,0.01,"{'estimator__C': 0.01, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.5428574680250688,0.5408510797246239,0.5358688572846021,0.544905967838346,0.5434215942940559,0.5415809934333394,0.0031379587986343103,1,0.543400549851561,0.5419399873005525,0.5478338320852421,0.5376997143755069,0.5384488309678108,0.5418645829161346,0.0036608826046184775,0.22664835164835165,0.23214285714285715,0.19807427785419532,0.25,0.24725274725274726,0.2308236467796303,0.018597539813739485,7,0.2325661284781862,0.23497080041222948,0.23832417582417584,0.2239780144280316,0.22947440742013053,0.23186270531255074,0.004894445374882799,0.7130155384039985,0.7109074835945735,0.712908655072168,0.7089814862039068,0.7084714642729637,0.7108569255095221,0.001901549780919163,11,0.7123531036827677,0.7113075631680728,0.71563118927603,0.7076579141980398,0.7078109194767219,0.7109521379603263,0.0029900407022813756,0.12576219512195125,0.12773998488284202,0.10746268656716418,0.1419103313840156,0.13493253373313344,0.1275615463378213,0.011553811117347218,8,0.1293836598184424,0.1273031825795645,0.13320537428023033,0.12522808028426005,0.12578853215328126,0.1281817658231557,0.0028949931013085048
3,94.27447724342346,12.542133147161197,0.28779258728027346,0.0024545306802515074,0.01,,l1,0.0001,"{'estimator__C': 0.01, 'estimator__class_weight': None, 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.49722235353706734,0.4979127908632914,0.4977498776489517,0.4976833452360817,0.49793648163254595,0.4977009697835876,0.0002577247043684607,13,0.4978286253535425,0.49768455683056306,0.49766005216526504,0.4977382157927193,0.49766374319801177,0.49771503866802036,6.328190480801321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430893203223283,0.7441773486110639,0.7439009877424729,0.7438329848183471,0.744138997976913,0.743827927894225,0.0003923681671263304,4,0.7440083303228,0.7438128227468814,0.7437586596737588,0.7438734136327704,0.7437841605535391,0.7438474773859499,8.904482856045471e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,44.193018436431885,7.522902549222118,0.2834605693817139,0.006711935865527975,0.01,,l1,0.001,"{'estimator__C': 0.01, 'estimator__class_weight': None, 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.49720560991921575,0.4976888858863836,0.49769784624099156,0.4976063312326181,0.49782076406980147,0.49760388746980216,0.0002105798757763164,18,0.4977936594292883,0.4975359461928819,0.49755619606363904,0.4977242096133124,0.49754459900337406,0.4976309220604992,0.00010699727000079565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430383189962939,0.7438883410968685,0.7438499855493786,0.7437649818942215,0.7439859913976301,0.7437055237868785,0.00034107211831083,8,0.7439530781817796,0.7436300656650445,0.7436226549815969,0.7438691634861403,0.7436184048349668,0.7437386734299055,0.0001433300486757222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.459060716629029,1.752354631713292,0.291395378112793,0.00730940019673161,0.01,,l1,0.01,"{'estimator__C': 0.01, 'estimator__class_weight': None, 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.49736962482194735,0.49799953447428824,0.4977802137278634,0.49778574419505284,0.49789064191041116,0.49776515182591263,0.00021343640954155047,12,0.4979278319197152,0.4978627627555365,0.4976692193853709,0.49783250926131356,0.4976262705902488,0.49778371878243705,0.00011601474216698158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7433953282785353,0.7443983543572132,0.744019992859693,0.7440709950527873,0.744138997976913,0.7440047337050284,0.00033134951165749034,3,0.744225088722188,0.7441655864164737,0.7438266620198397,0.7440859209642733,0.743779910406909,0.7440166337059367,0.00018031544014059962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,85.00674595832825,10.061751495888176,0.2888475894927979,0.0014436788737721092,0.1,balanced,l1,0.0001,"{'estimator__C': 0.1, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.5421011113092769,0.5424954418307567,0.5347734294309966,0.5426147706007968,0.5419696818972795,0.5407908870138213,0.0030182146810835008,5,0.542432725607491,0.542917713055512,0.5450624267146499,0.5355706374178786,0.5372216655633208,0.5406410336717704,0.003615055791576811,0.22939560439560439,0.23351648351648352,0.20357634112792297,0.25,0.24725274725274726,0.23274823525855162,0.016557982975843735,1,0.23325317760219855,0.23325317760219855,0.24244505494505494,0.22329096530401923,0.22981793198213674,0.2324120614871216,0.0061967703497072596,0.7118935092312401,0.7114004964129067,0.7110045731966474,0.7071284065214805,0.7083354584247122,0.7099524887573974,0.0018741075683987593,14,0.711371315638481,0.7119663386956244,0.7121375687461218,0.7061661127308893,0.7077216663974907,0.7098726004417214,0.0024545686769766218,0.12733511246664125,0.1303181295515523,0.11057153530070976,0.1416893732970027,0.1376673040152964,0.12951629092624048,0.010760364298183053,3,0.12924716855429713,0.12885473005028938,0.13497753560845044,0.1254826254826255,0.12731944047958893,0.12917630003505026,0.0031891667528726455
7,36.52740392684937,1.1211101353934991,0.292600154876709,0.0032518341091103014,0.1,balanced,l1,0.001,"{'estimator__C': 0.1, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.5401374681231084,0.5415801726873609,0.5326279032290842,0.5413856011598426,0.5407565813624411,0.5392975453123674,0.0033730919642893107,9,0.5407157254458135,0.5427462726003879,0.543550499825957,0.5348711015072141,0.5355719642680725,0.539491112729489,0.0036132698223530113,0.23076923076923078,0.23214285714285715,0.20082530949105915,0.24862637362637363,0.24862637362637363,0.23219802893117886,0.017470392394165316,5,0.2342837512882171,0.23394022672621093,0.24107142857142858,0.2243215389900378,0.22981793198213674,0.23268697551160625,0.005525057892374081,0.7091734385094013,0.7108734827105505,0.7093555022865983,0.7060913619285629,0.7064993794733173,0.708398632981686,0.0018205201045059973,18,0.7090889771978665,0.7117028284846038,0.7108412740239538,0.7050780751935942,0.7056900963083227,0.7084802502416683,0.002671694083126391,0.128,0.1297006907137375,0.10956848030018762,0.14184952978056425,0.13885692366705027,0.1295951248923079,0.01130993737288545,1,0.12979351032448377,0.12933244706105784,0.1345085265376509,0.12612264606470305,0.12750142938822182,0.12945171187522347,0.0028491649919173585
8,11.268691349029542,1.115759514040015,0.30377612113952634,0.018390288843110853,0.1,balanced,l1,0.01,"{'estimator__C': 0.1, 'estimator__class_weight': 'balanced', 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.5425916363238604,0.5437500497289492,0.5359226537268968,0.542912888105097,0.5389508031702966,0.54082560621102,0.0029523484705377863,4,0.5430584666842033,0.5444211636425684,0.5477082059684282,0.5366060588249528,0.5333804802492698,0.5410348750738845,0.005259265956418508,0.2239010989010989,0.23076923076923078,0.20082530949105915,0.24587912087912087,0.2445054945054945,0.22917605090920085,0.016420184329687112,9,0.22913088285812436,0.2325661284781862,0.2403846153846154,0.22294744074201306,0.22569563723806252,0.23014494094020033,0.006055439012198729,0.7132025432661249,0.7119785114412974,0.7124496353343194,0.7090834905900953,0.7052923275700855,0.7104013016403845,0.0029109606091060948,12,0.7125188601058291,0.7120130905072571,0.7150999209472727,0.7079171731424734,0.7041472930816113,0.7103392675568887,0.003858062127721126,0.12586872586872586,0.12853863810252486,0.10895522388059702,0.14161392405063292,0.1355157974876285,0.12809846187802182,0.011039145112649243,7,0.12910093873995934,0.12753131769803147,0.1335113484646195,0.12550763875459292,0.12503568369968598,0.12813738547137785,0.0030565128161017603
9,92.04757504463196,12.311110107920484,0.2885042667388916,0.0045564342025102905,0.1,,l1,0.0001,"{'estimator__C': 0.1, 'estimator__class_weight': None, 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.49719929818118896,0.4979169110050893,0.49770499426063924,0.4977510228504089,0.49791767781590696,0.4976979808226467,0.0002637211464956133,14,0.49784520430559615,0.49771678521571483,0.4976414904411827,0.4977443973644047,0.4976420586270447,0.4977179871907886,7.549839178014678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743004318112271,0.7441603481690524,0.7438159840873158,0.7439009877424729,0.7441049965148502,0.7437973269251925,0.0004162695357584268,5,0.7439913296640245,0.743829823405657,0.7437204083540883,0.7438606631928801,0.7437416590872385,0.7438287767407776,9.672071854878259e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
